;Country;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
129;Sudan;0.054000000000000006;0.907;0.01;0.0;0.0;0.027999999999999997;0.0;0.0
130;Suriname;0.516;0.152;0.054000000000000006;0.198;0.006;0.053;0.018000000000000002;0.002
131;Swaziland;0.8809999999999999;0.002;0.10099999999999999;0.001;0.0;0.01;0.004;0.0
132;Sweden;0.672;0.046;0.27;0.002;0.004;0.002;0.002;0.001
133;Switzerland;0.727;0.049;0.209;0.005;0.005;0.0;0.002;0.003
134;Syria;0.052000000000000005;0.9279999999999999;0.02;0.0;0.0;0.0;0.0;0.0
135;Taiwan Province of China;0.055;0.0;0.127;0.0;0.213;0.442;0.162;0.0
136;Tajikistan;0.016;0.9670000000000001;0.015;0.0;0.0;0.0;0.0;0.0
137;Tanzania;0.614;0.35200000000000004;0.013999999999999999;0.001;0.0;0.018000000000000002;0.0;0.0
138;Thailand;0.009000000000000001;0.055;0.003;0.001;0.932;0.0;0.0;0.0
139;Togo;0.43700000000000006;0.14;0.062;0.0;0.0;0.35600000000000004;0.006;0.0
140;Trinidad and Tobago;0.659;0.059000000000000004;0.019;0.22699999999999998;0.003;0.019;0.013999999999999999;0.0
141;Tunisia;0.002;0.995;0.002;0.0;0.0;0.0;0.0;0.0
142;Turkey;0.004;0.98;0.012;0.0;0.0;0.0;0.002;0.0
143;Uganda;0.867;0.115;0.005;0.003;0.0;0.009000000000000001;0.001;0.0
144;Ukraine;0.838;0.012;0.147;0.0;0.0;0.0;0.0;0.001
145;United Arab Emirates;0.126;0.769;0.011000000000000001;0.066;0.02;0.0;0.008;0.0
146;United Kingdom;0.643;0.048;0.278;0.013999999999999999;0.004;0.001;0.006999999999999999;0.005
147;United States;0.7829999999999999;0.009000000000000001;0.16399999999999998;0.006;0.012;0.002;0.006;0.018000000000000002
148;Uruguay;0.579;0.0;0.40700000000000003;0.0;0.0;0.008;0.003;0.003
149;Uzbekistan;0.023;0.9670000000000001;0.008;0.0;0.0;0.0;0.0;0.0
150;Venezuela;0.893;0.003;0.1;0.0;0.0;0.002;0.0;0.0
151;Vietnam;0.08199999999999999;0.002;0.29600000000000004;0.0;0.16399999999999998;0.45299999999999996;0.004;0.0
152;Yemen;0.002;0.991;0.001;0.006;0.0;0.0;0.0;0.0
153;Zambia;0.976;0.005;0.005;0.001;0.0;0.003;0.009000000000000001;0.0
154;Zimbabwe;0.87;0.009000000000000001;0.079;0.0;0.0;0.038;0.003;0.0
